0.59824E+00 0.17201E-02 0.00000E+01 81315 0 0 4599 0.76800E+04 0.00000E+01 0.59824E+00 0.00000E+01 0.00000E+01 0
1 0.6216 0.026663 2.0665 15.692 0.6216
2 0.59924 0.010361 1.1781 10.569 0.59924
3 0.60047 0.004158 0.66721 5.0369 0.60047
4 0.59404 0.022399 1.8166 15.1 0.59404
5 0.59961 0.010829 1.2304 12.169 0.59961
6 0.59399 0.003955 0.64156 3.2993 0.59399
7 0.60345 0.025341 2.0231 16.245 0.60345
8 0.60335 0.010326 1.1661 10.175 0.60335
9 0.59639 0.0040154 0.64873 3.4483 0.59639
10 0.56491 0.020976 1.7888 17.815 0.56491
11 0.59817 0.0089835 1.0232 6.3424 0.59817
12 0.59822 0.0043228 0.69626 4.3784 0.59822
13 0.62203 0.02633 2.0393 18.858 0.62203
14 0.59997 0.010294 1.169 9.6585 0.59997
15 0.60077 0.0041252 0.66162 3.7385 0.60077
